id,theme,es,sentence,nl,en,sk,native_ok,notes
hola,hello,hola,"Hola, Lola.",hallo,hello,ahoj,,
adios,hello,adiós,"Adiós, Lola.",tot ziens,goodbye,dovidenia,,
gracias,hello,gracias,"Gracias, Lola.",bedankt,thank you,ďakujem,,
por_favor,hello,por favor,Por favor.,alsjeblieft,please,prosím,,
si,hello,sí,"Sí, gracias.",ja,yes,áno,,
no,hello,no,"No, gracias.",nee,no,nie,,
perdon,hello,perdón,Perdón.,sorry / pardon,sorry / excuse me,prepáč / prepáčte,,
buenos_dias,hello,buenos días,Buenos días.,goedemorgen,good morning,dobré ráno,,
buenas_tardes,hello,buenas tardes,Buenas tardes.,goedemiddag,good afternoon,dobrý deň,,
buenas_noches,hello,buenas noches,Buenas noches.,goedenavond / welterusten,good evening / good night,dobrý večer / dobrú noc,,
agua,food,agua,Quiero agua.,water,water,voda,,
pan,food,pan,Quiero pan.,brood,bread,chlieb,,
leche,food,leche,Quiero leche.,melk,milk,mlieko,,
manzana,food,manzana,"Una manzana, por favor.",appel,apple,jablko,,
platano,food,plátano,Quiero un plátano.,banaan,banana,banán,,
helado,food,helado,Quiero un helado.,ijsje,ice cream,zmrzlina,,
queso,food,queso,Me gusta el queso.,kaas,cheese,syr,,
arroz,food,arroz,Quiero arroz.,rijst,rice,ryža,,
sopa,food,sopa,La sopa está rica.,soep,soup,polievka,,
galleta,food,galleta,Quiero una galleta.,koekje,cookie,sušienka,,
chocolate,food,chocolate,Me gusta el chocolate.,chocolade,chocolate,čokoláda,,
fruta,food,fruta,Quiero fruta.,fruit,fruit,ovocie,,
perro,animals,perro,El perro corre.,hond,dog,pes,,
gato,animals,gato,El gato duerme.,kat,cat,mačka,,
pajaro,animals,pájaro,El pájaro canta.,vogel,bird,vták,,
pez,animals,pez,El pez nada.,vis,fish,ryba,,
caballo,animals,caballo,El caballo corre.,paard,horse,kôň,,
conejo,animals,conejo,El conejo salta.,konijn,rabbit,králik,,
